NodeID, Q1, Q2, P1, P2, DeltaQ, DeltaP, MinOp Violated, Count, No1 Src initial %, No1 Src final %, BACKUP Src initial %, BACKUP Src final %, Chk Initial Src Impact Total %, Chk Final Src Impact Total %
CD_305_IP,-2.016,-5.016,52.35321,52.17179,3,0.1814232,False,0,100,100,0,0,100,100
CD_307_IP,-1.344,-4.344,52.57267,52.40663,3,0.1660385,False,0,100,99.99998,0,0,100,99.99998
CD_337_IP,-0.336,-3.336,52.80359,52.48096,3,0.322628,False,0,100,99.99999,0,0,100,99.99999
CD_309_IP,-2.28,-5.28,52.00037,51.5833,3,0.4170685,False,0,100,99.99998,0,0,100,99.99998
CD_308_IP,-0.312,-3.312,51.99828,51.47329,3,0.5249901,False,0,100,99.99997,0,0,100,99.99997
CD_310_IP,-1.848,-4.848,51.38976,51.04591,3,0.3438492,False,0,100,99.99999,0,0,100,99.99999
CD_322_IP,-1.968,-4.968,50.61242,50.44464,3,0.1677856,False,0,100,100,0,0,100,100
CD_313_IP,-1.632,-4.632,50.55445,50.3683,3,0.1861458,False,0,100,100,0,0,100,100
CD_317_IP,-0.6,-3.6,50.74537,50.52268,3,0.2226868,False,0,100,100,0,0,100,100
CD_315_IP,-0.6,-3.6,50.36567,50.19092,3,0.1747513,False,0,100,99.99998,0,0,100,99.99998
CD_314_IP,0,-3,50.36553,50.14555,3,0.2199745,False,0,0,99.99998,0,0,0,99.99998
CD_316_IP,-0.384,-3.384,50.75251,50.57372,3,0.1787949,False,0,100,100,0,0,100,100
CD_321_IP,-2.136,-5.136,50.57582,50.38032,3,0.1955032,False,0,100,100,0,0,100,100
CD_320_IP,-1.968,-4.968,50.49784,50.23199,3,0.2658424,False,0,100,100,0,0,100,100
CD_318_IP,-1.992,-4.992,50.37803,50.12158,3,0.2564545,False,0,100,100,0,0,100,100
CD_319_IP,0,-3,50.37807,50.07961,3,0.2984619,False,0,0,100,0,0,0,100
CD_323_IP,-0.7679999,-3.768,50.58681,50.02068,3,0.5661392,False,0,100,100,0,0,100,100
CD_324_IP,-0.816,-3.816,52.78391,52.63762,3,0.1462898,False,0,100,100,0,0,100,100
CD_336_IP,-2.496,-5.496,52.70539,52.55746,3,0.1479301,False,0,99.99998,100,0,0,99.99998,100
CD_333_IP,-2.808,-5.808,52.72345,52.55325,3,0.1702003,False,0,100,99.99998,0,0,100,99.99998
CD_328_IP,-1.416,-4.416,52.02865,51.74163,3,0.2870216,False,0,100,100,0,0,100,100
CD_327_IP,-2.4,-5.4,52.5965,52.34161,3,0.2548943,False,0,100,100,0,0,100,100
CD_330_IP,-1.896,-4.896,52.53126,52.02465,3,0.5066032,False,0,100,100,0,0,100,100
CD_331_IP,-0.744,-3.744,52.44302,52.1556,3,0.2874222,False,0,100,99.99998,0,0,100,99.99998
CD_332_IP,-0.384,-3.384,52.6092,52.45968,3,0.1495247,False,0,100,100,0,0,100,100
CD_335_IP,-2.688,-5.688,52.72819,52.57056,3,0.1576347,False,0,100,100,0,0,100,100
CD_334_IP,-2.784,-5.783999,52.81441,52.61023,2.999999,0.204174,False,0,100,100,0,0,100,100
CD_338_IP,-1.368,-4.368,52.77995,52.29572,3,0.4842224,False,0,100,99.99999,0,0,100,99.99999
CD_346_IP,-1.608,-4.608,55.49981,55.3774,3,0.1224098,False,0,99.99999,100,0,0,99.99999,100
CD_349_IP,-1.728,-4.728,55.52831,55.39481,3,0.1334915,False,0,99.99999,100,0,0,99.99999,100
CD_339_IP,-19.614,-22.614,55.68272,55.55408,3.864,0.128643,False,0,99.99999,100,0,0,99.99999,100
CD_400_IP,-1.128,-4.128,56.75458,56.63916,3,0.1154251,False,0,100,99.99999,0,0,100,99.99999
CD_389_IP,-1.8,-4.8,58.9913,58.90901,3,0.08229446,False,0,100,99.99999,0,0,100,99.99999
CD_393_IP,-2.856,-5.856,57.9647,57.89298,3,0.07172012,False,0,100,100,0,0,100,100
CD_380_IP,-1.536,-4.536,56.45592,56.36016,3,0.09575272,False,0,100,100,0,0,100,100
CD_392_IP,-1.272,-4.272,57.82779,57.75949,3,0.06829453,False,0,100,100,0,0,100,100
CD_408_IP,-1.008,-4.008,56.97961,56.87567,3,0.1039391,False,0,100,99.99999,0,0,100,99.99999
CD_387_IP,-2.76,-5.76,56.51132,56.37006,3,0.1412582,False,0,100,99.99998,0,0,100,99.99998
CD_371_IP,-1.08,-4.08,56.70874,56.60449,3,0.104248,False,0,100,99.99998,0,0,100,99.99998
CD_409_IP,-2.28,-5.28,56.72181,56.56059,3,0.1612129,False,0,100,100,0,0,100,100
CD_376_IP,-1.872,-4.872,56.24011,56.12897,3,0.111145,False,0,100,100,0,0,100,100
CD_340_IP,-1.44,-4.44,55.49945,55.37833,3,0.1211128,False,0,100,99.99999,0,0,100,99.99999
CD_355_IP,-2.664,-5.664,55.46896,55.34303,3,0.1259384,False,0,99.99999,100,0,0,99.99999,100
CD_350_IP,-2.64,-5.64,55.51881,55.39066,3,0.1281471,False,0,99.99999,99.99999,0,0,99.99999,99.99999
CD_342_IP,-2.496,-5.496,55.51473,55.39088,3,0.1238518,False,0,99.99996,99.99998,0,0,99.99996,99.99998
CD_341_IP,-0.6,-3.6,56.42693,56.3292,3,0.0977211,False,0,100,100,0,0,100,100
CD_379_IP,-0.96,-3.96,55.5417,55.41457,3,0.1271286,False,0,99.99996,100,0,0,99.99996,100
CD_386_IP,-2.208,-5.208,55.9629,55.80806,3,0.1548462,False,0,100,100,0,0,100,100
CD_347_IP,-2.832,-5.831999,55.45726,55.30293,2.999999,0.154335,False,0,100,99.99998,0,0,100,99.99998
CD_343_IP,-0.432,-3.432,55.44281,55.21703,3,0.2257767,False,0,99.99998,100,0,0,99.99998,100
CD_344_IP,-2.88,-5.88,55.44213,55.23729,3,0.2048416,False,0,99.99999,100,0,0,99.99999,100
CD_345_IP,-1.536,-4.536,55.45232,55.27767,3,0.1746483,False,0,99.99998,99.99999,0,0,99.99998,99.99999
CD_348_IP,-0.984,-3.984,55.44177,55.20284,3,0.2389336,False,0,99.99998,99.99999,0,0,99.99998,99.99999
CD_351_IP,-20.886,-23.886,52.01548,51.46107,4.536001,0.554409,False,0,99.99998,100,0,0,99.99998,100
CD_352_IP,-0.456,-3.456,50.05302,49.22269,3,0.8303337,False,0,100,100,0,0,100,100
CD_354_IP,-35.9039,-38.76152,39.33226,36.53217,0.1384773,2.800091,False,0,100,100,0,0,100,100
CD_384_IP,-1.488,-4.488,55.49337,55.36538,3,0.1279907,False,0,100,99.99998,0,0,100,99.99998
CD_356_IP,-2.496,-5.496,55.49124,55.34177,3,0.1494675,False,0,99.99998,100,0,0,99.99998,100
CD_358_IP,-2.856,-5.856,55.65003,55.51863,3,0.1314049,False,0,100,100,0,0,100,100
CD_216_IP,-2.688,-5.688,55.57735,55.44605,3,0.1313057,False,0,100,100,0,0,100,100
CD_357_IP,-1.92,-4.92,55.62014,55.4511,3,0.1690369,False,0,100,100,0,0,100,100
CD_359_IP,-2.832,-5.831999,55.49422,55.2951,2.999999,0.1991196,False,0,100,100,0,0,100,100
CD_360_IP,-1.656,-4.656,55.16072,54.68738,3,0.4733429,False,0,100,99.99998,0,0,100,99.99998
CD_362_IP,-1.68,-4.68,55.781,55.65214,3,0.1288643,False,0,100,99.99996,0,0,100,99.99996
CD_361_IP,-2.04,-5.04,55.72404,55.53273,3,0.1913147,False,0,100,100,0,0,100,100
CD_363_IP,-0.936,-3.936,55.74098,55.5631,3,0.1778831,False,0,100,100,0,0,100,100
CD_364_IP,-0.792,-3.792,55.73627,55.50666,3,0.2296104,False,0,100,99.99999,0,0,100,99.99999
CD_365_IP,-1.776,-4.776,55.28399,54.83616,3,0.4478302,False,0,100,100,0,0,100,100
CD_367_IP,-1.128,-4.128,55.98988,55.8675,3,0.1223717,False,0,100,100,0,0,100,100
CD_366_IP,-0.6,-3.6,55.82903,55.59512,3,0.2339058,False,0,100,99.99998,0,0,100,99.99998
CD_368_IP,-2.088,-5.088,56.00508,55.86181,3,0.1432724,False,0,99.99999,99.99999,0,0,99.99999,99.99999
CD_369_IP,-2.304,-5.304,56.08352,55.90986,3,0.1736526,False,0,100,100,0,0,100,100
CD_370_IP,-1.656,-4.656,56.39222,56.13406,3,0.2581596,False,0,100,99.99999,0,0,100,99.99999
CD_372_IP,-2.736,-5.736,54.85079,54.0532,3,0.7975922,False,0,100,99.99998,0,0,100,99.99998
CD_373_IP,-3.5,-6.5,54.45864,52.84539,3,1.613251,False,0,100,99.99999,0,0,100,99.99999
CD_374_IP,-2.136,-5.136,55.44473,55.23565,3,0.2090836,False,0,99.99999,99.99999,0,0,99.99999,99.99999
CD_375_IP,-2.33,-5.33,55.28671,54.5423,3,0.7444077,False,0,99.99999,99.99998,0,0,99.99999,99.99998
CD_377_IP,-2.232,-5.232,56.28135,56.14344,3,0.1379089,False,0,100,99.99999,0,0,100,99.99999
CD_378_IP,-2.376,-5.376,56.41261,56.25349,3,0.1591187,False,0,100,99.99999,0,0,100,99.99999
CD_381_IP,-1.896,-4.896,56.42027,56.16801,3,0.2522545,False,0,100,99.99999,0,0,100,99.99999
CD_382_IP,-2.808,-5.808,55.68081,55.49411,3,0.1866989,False,0,99.99998,99.99998,0,0,99.99998,99.99998
CD_385_IP,-0.36,-3.36,55.53708,55.37465,3,0.1624374,False,0,99.99998,99.99999,0,0,99.99998,99.99999
CD_383_IP,-0.456,-3.456,55.71036,55.58202,3,0.1283417,False,0,100,100,0,0,100,100
CD_388_IP,-2.856,-5.856,56.5135,56.38179,3,0.1317139,False,0,100,100,0,0,100,100
CD_391_IP,-0.576,-3.576,58.37421,58.24074,3,0.1334724,False,0,100,100,0,0,100,100
CD_390_IP,-2.832,-5.831999,57.9874,57.88393,2.999999,0.1034775,False,0,100,99.99999,0,0,100,99.99999
CD_394_IP,-1.272,-4.272,57.79277,57.66743,3,0.1253357,False,0,100,99.99999,0,0,100,99.99999
